Spectral_Weight,Temporal_Weight
0.11719603,0.882804
0.09953075,0.9004693
0.102529995,0.89747
0.07756041,0.9224395
0.082723685,0.9172764
0.08644428,0.91355574
0.07752833,0.9224717
0.07884436,0.92115563
0.06781161,0.93218845
0.041221753,0.95877826
0.04403567,0.9559643
0.05433879,0.94566125
0.056168508,0.94383144
0.049739227,0.9502608
0.05783421,0.9421658
0.048158366,0.95184165
0.061098106,0.9389019
0.052130625,0.94786936
0.05336892,0.9466311
0.053693306,0.94630677
0.05288243,0.94711757
0.06631527,0.9336847
0.059654325,0.9403457
0.07246813,0.9275319
0.0656357,0.9343643
0.05822895,0.94177103
0.060632214,0.9393678
0.060632836,0.9393672
0.06232847,0.9376715
0.08380931,0.9161907
0.064008504,0.9359915
0.061716527,0.9382835
0.08439443,0.9156056
0.10328804,0.896712
0.10157321,0.8984268
0.10269553,0.8973045
0.10490742,0.89509255
0.10553221,0.89446783
0.10240865,0.89759135
0.08638558,0.91361445
0.11350089,0.8864991
0.15564813,0.8443519
0.08582902,0.9141709
0.09414933,0.90585065
0.09220865,0.9077913
0.15042835,0.8495717
0.20359239,0.79640764
0.11300607,0.88699394
0.09968874,0.9003113
0.13148256,0.86851746
0.100665815,0.8993342
0.097621225,0.9023788
0.1052317,0.89476824
0.113796234,0.88620377
0.097413965,0.9025861
0.08385386,0.91614616
0.08599054,0.91400945
